cosine_cnt,education_match,experience_ratio,jaccard,location_match,salary_negotiable,salary_ratio,text_sim,title_intent,label
0.254024,1.0,3.5,0.097561,0.0,0.0,1.17,0.175793,1.0,1
0.254024,1.0,3.5,0.097561,0.0,0.0,1.17,0.175793,1.0,0
0.386865,1.0,3.5,0.092784,0.0,0.0,1.4,0.239824,1.0,1
0.368863,1.0,3.5,0.072165,0.0,0.0,1.8633333333333333,0.220514,1.0,0
0.40234,1.0,3.5,0.092784,0.0,0.0,1.17,0.247562,1.0,0
0.386865,1.0,3.5,0.081633,0.0,0.0,1.04,0.234249,1.0,0
0.352825,1.0,3.5,0.10101,0.0,0.0,1.17,0.226917,1.0,0
0.368863,1.0,3.5,0.072165,0.0,0.0,1.3866666666666667,0.220514,1.0,0
0.367589,1.0,3.5,0.071429,0.0,0.0,1.8633333333333333,0.219509,1.0,0
0.367589,1.0,3.5,0.071429,0.0,0.0,1.3866666666666667,0.219509,1.0,1
